Date,Adj Close
1/4/2021,19.404762
1/5/2021,19.498835
1/6/2021,19.39621
1/7/2021,19.661325
1/8/2021,19.712637
1/11/2021,19.669876
1/12/2021,19.695532
1/13/2021,19.755402
1/14/2021,19.72974
1/15/2021,19.644217
1/19/2021,19.81612
1/20/2021,19.954334
1/21/2021,20.006159
1/22/2021,19.988884
1/25/2021,20.057989
1/26/2021,20.040712
1/27/2021,19.781565
1/28/2021,19.885225
1/29/2021,19.721102
2/1/2021,19.980246
2/2/2021,20.127096
2/3/2021,20.135735
2/4/2021,20.204844
2/5/2021,20.230759
2/8/2021,20.256674
2/9/2021,20.248034
2/10/2021,20.21348
2/11/2021,20.256674
2/12/2021,20.26531
2/16/2021,20.273947
2/17/2021,20.273947
2/18/2021,20.26531
2/19/2021,20.256674
2/22/2021,19.910292
2/23/2021,19.857944
2/24/2021,20.006264
2/25/2021,19.412973
2/26/2021,19.543842
3/1/2021,20.049891
3/2/2021,19.779421
3/3/2021,19.25592
3/4/2021,18.941826
3/5/2021,19.2472
3/8/2021,18.714979
3/9/2021,19.43042
3/10/2021,19.378075
3/11/2021,19.823044
3/12/2021,19.657269
3/15/2021,19.884117
3/16/2021,19.988817
3/17/2021,20.067343
3/18/2021,19.465321
3/19/2021,19.587471
3/22/2021,19.75844
3/23/2021,19.723186
3/24/2021,19.590994
3/25/2021,19.5954
3/26/2021,19.776068
3/29/2021,19.75844
3/30/2021,19.749628
3/31/2021,19.890633
4/1/2021,20.005201
4/5/2021,20.040449
4/6/2021,20.075703
4/7/2021,20.093327
4/8/2021,20.102137
4/9/2021,20.119766
4/12/2021,20.128582
4/13/2021,20.102137
4/14/2021,20.119766
4/15/2021,20.119766
4/16/2021,20.110952
4/19/2021,19.984547
4/20/2021,19.913332
4/21/2021,20.046864
4/22/2021,19.904432
4/23/2021,20.082466
4/26/2021,20.153683
4/27/2021,20.118076
4/28/2021,20.109173
4/29/2021,20.153683
4/30/2021,20.100269
5/3/2021,20.055759
5/4/2021,19.779804
5/5/2021,19.753101
5/6/2021,19.877726
5/7/2021,20.037958
5/10/2021,19.60177
5/11/2021,19.557264
5/12/2021,19.023155
5/13/2021,19.218992
5/14/2021,19.619574
5/17/2021,19.512753
5/18/2021,19.388126
5/19/2021,19.405931
5/20/2021,19.779804
5/21/2021,19.69969
5/24/2021,19.871431
5/25/2021,19.889414
5/26/2021,19.93437
5/27/2021,19.943359
5/28/2021,19.970337
6/1/2021,19.988319
6/2/2021,20.006308
6/3/2021,19.925379
6/4/2021,20.078238
6/7/2021,20.105211
6/8/2021,20.114201
6/9/2021,20.105211
6/10/2021,20.141174
6/11/2021,20.177145
6/14/2021,20.186134
6/15/2021,20.195126
6/16/2021,20.186134
6/17/2021,20.204121
6/18/2021,20.033283
6/21/2021,20.109468
6/22/2021,20.200176
6/23/2021,20.209246
6/24/2021,20.245533
6/25/2021,20.281815
6/28/2021,20.345304
6/29/2021,20.354374
6/30/2021,20.345304
7/1/2021,20.354374
7/2/2021,20.395193
7/6/2021,20.4088
7/7/2021,20.4088
7/8/2021,20.390656
7/9/2021,20.426943
7/12/2021,20.43601
7/13/2021,20.445084
7/14/2021,20.43601
7/15/2021,20.417868
7/16/2021,20.309023
7/19/2021,20.183508
7/20/2021,20.366741
7/21/2021,20.4492
7/22/2021,20.531658
7/23/2021,20.623274
7/26/2021,20.632435
7/27/2021,20.54998
7/28/2021,20.614113
7/29/2021,20.641598
7/30/2021,20.604952
8/2/2021,20.623274
8/3/2021,20.678247
8/4/2021,20.705732
8/5/2021,20.742376
8/6/2021,20.751537
8/9/2021,20.779026
8/10/2021,20.7607
8/11/2021,20.7607
8/12/2021,20.797348
8/13/2021,20.824837
8/16/2021,20.824837
8/17/2021,20.806509
8/18/2021,20.769867
8/19/2021,20.815674
8/20/2021,20.98975
8/23/2021,21.126465
8/24/2021,21.144941
8/25/2021,21.154175
8/26/2021,21.098749
8/27/2021,21.2096
8/30/2021,21.265032
8/31/2021,21.265032
9/1/2021,21.274267
9/2/2021,21.265032
9/3/2021,21.292742
9/7/2021,21.301979
9/8/2021,21.311214
9/9/2021,21.301979
9/10/2021,21.292742
9/13/2021,21.246552
9/14/2021,21.320457
9/15/2021,21.357407
9/16/2021,21.33893
9/17/2021,21.098749
9/20/2021,20.791351
9/21/2021,20.819296
9/22/2021,20.996284
9/23/2021,21.126694
9/24/2021,21.18259
9/27/2021,21.108065
9/28/2021,20.62368
9/29/2021,20.679569
9/30/2021,20.549158
10/1/2021,20.632996
10/4/2021,20.223129
10/5/2021,20.521214
10/6/2021,20.632996
10/7/2021,20.86587
10/8/2021,20.726145
10/11/2021,20.605049
10/12/2021,20.539843
10/13/2021,20.670256
10/14/2021,21.042862
10/15/2021,21.126694
10/18/2021,21.208448
10/19/2021,21.264828
10/20/2021,21.283623
10/21/2021,21.311813
10/22/2021,21.274225
10/25/2021,21.349401
10/26/2021,21.368193
10/27/2021,21.358795
10/28/2021,21.424572
10/29/2021,21.443367
11/1/2021,21.46216
11/2/2021,21.471556
11/3/2021,21.490351
11/4/2021,21.509144
11/5/2021,21.499744
11/8/2021,21.518541
11/9/2021,21.509144
11/10/2021,21.499744
11/11/2021,21.518541
11/12/2021,21.527939
11/15/2021,21.537333
11/16/2021,21.527939
11/17/2021,21.518541
11/18/2021,21.513844
11/19/2021,21.659489
11/22/2021,21.512405
11/23/2021,21.455471
11/24/2021,21.521896
11/26/2021,21.208748
11/29/2021,21.569342
11/30/2021,21.360577
12/1/2021,21.018959
12/2/2021,21.208748
12/3/2021,20.905087
12/6/2021,21.075893
12/7/2021,21.597813
12/8/2021,21.683214
12/9/2021,21.44598
12/10/2021,21.654747
12/13/2021,21.398533
12/14/2021,21.189768
12/15/2021,21.645256
12/16/2021,21.123343
12/17/2021,21.056917
12/20/2021,20.943043
12/21/2021,21.227726
12/22/2021,21.379555
12/23/2021,21.46496
12/27/2021,21.578831
12/28/2021,21.550364
12/29/2021,21.569342
12/30/2021,21.578075
12/31/2021,21.529562
1/3/2022,21.626587
1/4/2022,21.558668
1/5/2022,21.257896
1/6/2022,21.267599
1/7/2022,21.160872
1/10/2022,21.199682
1/11/2022,21.393728
1/12/2022,21.451942
1/13/2022,21.063847
1/14/2022,21.248192
1/18/2022,20.772778
1/19/2022,20.559326
1/20/2022,20.287659
1/21/2022,19.821943
1/24/2022,19.893482
1/25/2022,19.599491
1/26/2022,19.648489
1/27/2022,19.491693
1/28/2022,19.942484
1/31/2022,20.354073
2/1/2022,20.45207
2/2/2022,20.530468
2/3/2022,20.069878
2/4/2022,20.285475
2/7/2022,20.246275
2/8/2022,20.41287
2/9/2022,20.608866
2/10/2022,20.40307
2/11/2022,19.971882
2/14/2022,20.00128
2/15/2022,20.45207
2/16/2022,20.481468
2/17/2022,19.913082
2/18/2022,19.687689
2/22/2022,19.600574
2/23/2022,19.303596
2/24/2022,19.719368
2/25/2022,19.897554
2/28/2022,19.917353
3/1/2022,19.749065
3/2/2022,19.956949
3/3/2022,19.848057
3/4/2022,19.709467
3/7/2022,19.204603
3/8/2022,19.165009
3/9/2022,19.699568
3/10/2022,19.580778
3/11/2022,19.254101
3/14/2022,18.907627
3/15/2022,19.471886
3/16/2022,20.115337
3/17/2022,20.293526
3/18/2022,20.640001
3/21/2022,20.639999
3/22/2022,20.780001
3/23/2022,20.700001
3/24/2022,20.84
3/25/2022,20.870001
3/25/2022,20.870001
